postal code,place name,latitude,longitude
39-340,Babule,50.3983,21.5392
39-340,Zaduszniki,50.4623,21.4617
37-430,Stary Nart,50.3557,21.9954
37-716,Małkowice,49.8569,22.8249
37-734,Kniażyce,49.7145,22.7461
37-740,Lipa,49.6853,22.4003
37-740,Sufczyna,49.7331,22.4693
37-755,Wola Krzywiecka,49.8057,22.5684
37-120,Tryńcza,50.1427,22.544
37-564,Wola Rzeplińska,49.8963,22.415
36-002,Łukawiec,50.1007,22.1738
36-062,Zaczernie,50.0912,21.9961
36-068,Laskówka,49.8574,22.2898
36-071,Błędowa Zgłobieńska,50.0362,21.8384
38-507,Pakoszówka,49.6228,22.1035
37-415,Dzierdziówka,50.6547,21.9353
37-455,Musików,50.6317,22.0736
37-455,Witkowice,50.759,21.8667
37-464,Bąków,50.6176,22.0826
37-470,Irena,50.7578,22.0568
38-124,Pstrągówka,49.8828,21.6115
38-130,Twierdza,49.8266,21.6179
39-102,Lubzina,49.8582,21.79
38-600,Postołów,49.4987,22.3103
38-606,Mchawa,49.3539,22.2743
38-606,Baligród,49.3355,22.2877
38-610,Wola Matiaszowa,49.3724,22.3773
35-033,Rzeszów,50.0322,21.9968
35-042,Rzeszów,50.0238,21.9869
35-078,Rzeszów,50.0203,21.9948
35-100,Rzeszów,50.0279,21.9659
35-116,Rzeszów,50.0421,21.9773
35-506,Rzeszów,50.0584,21.9666
16-300,Czarnucha,53.811,23.0411
16-304,Krusznik,54.0011,23.1019
16-310,Kopiec,53.7064,22.9894
16-310,Karoliny,53.6919,23.0607
16-320,Kukowo,53.8324,22.7413
16-320,Tobyłka,53.7567,22.7476
16-326,Muły,53.902,23.4874
16-002,Borsukówka,53.2405,22.9335
16-010,Wasilków,53.2037,23.2039
16-010,Zaścianek,53.2554,23.1588
16-020,Dworzysk,53.2938,23.2359
16-020,Łapczyn,53.3397,23.1688
16-040,Skroblaki,53.1256,23.7944
16-040,Kołodno,53.1648,23.4581
16-050,Nowe Kuchmy,53.0047,23.7284
16-050,Garbary,52.9461,23.7672
16-061,Wojszki,52.9251,23.2121
16-061,Niewodnica Nargilewska-Kolonia,53.054,23.1896
16-070,Śliwno,53.0978,22.8433
16-075,Stare Krzewo,53.1131,22.6021
16-080,Stelmachowo,53.1586,22.7434
16-080,Tykocin,53.2042,22.7719
18-106,Turośń Dolna,53.0205,22.9982
18-112,Brzozowo-Solniki,52.9297,22.7757
18-112,Zdrody Stare,52.9435,22.7837
19-122,Brzozówka Ziemiańska,53.3374,23.1338
17-100,Sobótka,52.821,23.2626
17-100,Jacewicze,52.8857,23.1093
17-100,Piliki,52.7337,23.155
17-106,Dydule,52.6581,23.2028
17-111,Piotrowo-Trojany,52.6037,22.9428
17-111,Piotrowo-Krzywokoły,52.5994,22.9707
17-120,Kiewłaki,52.8324,22.7975
17-120,Szmurły,52.6873,22.8013
17-120,Bronka,52.7546,22.9283
17-123,Rudka,52.7222,22.7293
19-206,Miecze,53.6714,22.565
19-206,Pikły,53.6981,22.6453
19-222,Ławsk,53.4745,22.2861
17-204,Wojnówka,52.5913,23.5029
17-207,Leszczyny,52.8427,23.356
17-210,Łopuchówka,52.8612,23.4961
17-210,Lachy,52.8635,23.3723
17-210,Chrabostówka,52.8833,23.5497
17-210,Trześcianka,52.9386,23.4493
18-500,Glinki,53.524,22.0775
18-500,Wścieklice,53.4014,22.0301
18-507,Guty Podleśne,53.4867,22.1342
18-520,Sokoły,53.3916,22.2132
18-520,Poryte,53.3606,22.0731
18-525,Charubiny,53.404,21.7881
18-400,Stara Łomża Nad Rzeką,53.1613,22.1108
18-411,Jakać Młoda,53.0209,21.9639
18-411,Kołaczki,53.0893,22.0379
18-413,Łuby-Kurki,53.1411,21.8581
18-413,Gałkówka,53.1455,21.777
18-413,Łubia,53.1091,21.8174
18-413,Łuby-Kiertany,53.1385,21.8766
18-414,Kupnina,53.2726,21.9335
18-420,Szostaki,53.283,22.4561
18-421,Marianowo,53.2108,22.1063
18-421,Kalinowo,53.1728,22.133
18-430,Wizna,53.1928,22.3822
19-100,Kuczyn,53.3713,22.7921
19-100,Jaski,53.4429,22.7779
19-104,Laskowiec,53.2317,22.5593
19-110,Osowiec,53.5043,22.6493
19-110,Downary-Plac,53.4492,22.7029
19-122,Kalinówka Królewska,53.4076,22.9608
19-124,Szpakowo,53.4411,22.8905
16-411,Rudawka,54.1701,23.1935
16-500,Berżałowce,54.0643,23.4199
16-500,Bosse,54.0781,23.4015
16-503,Wysoka Góra,54.1295,23.1122
17-300,Krasewice-Czerepy,52.4895,22.8056
17-307,Osłowo,52.3506,22.9895
17-307,Stankowicze,52.3795,22.9462
89-620,Białe Błoto,53.6958,17.7608
89-632,Popówka,53.9508,17.8059
89-632,Parowa,53.7989,17.6702
89-632,Wielkie Chełmy,53.8818,17.6388
89-632,Spierwia,53.8263,17.6719
89-650,Łubna,53.8174,17.9906
89-650,Kurcze,53.7409,18.0019
89-650,Polana,53.871,17.9766
89-650,Dąbki,53.7499,17.9912
89-651,Nowa Juńcza,53.8413,17.9934
77-220,Żukowo,53.855,17.0485
77-300,Krępsk,53.7027,17.225
77-300,Piaskowo,53.688,17.348
77-310,Służewo,53.5647,17.3279
77-330,Wyczechy,53.6883,17.0419
83-021,Przejazdowo,54.3265,18.7428
83-041,Przywidz,54.1946,18.3188
83-041,Olszanka,54.1634,18.3899
83-047,Czarna Huta,54.1976,18.2626
83-050,Ostróżki,54.2435,18.4622
83-209,Trąbki Małe,54.1804,18.5716
83-300,Smętowo Leśne,54.3102,18.147
83-304,Młynek,54.3687,18.302
83-305,Brzeziny,54.3734,18.2273
83-305,Stanisławy,54.3863,18.2356
83-312,Starkowa Huta,54.2263,18.1793
83-320,Borek Kamienny,54.2805,17.7553
83-322,Smokowo,54.2272,18.012
83-328,Głusino,54.4119,18.0953
83-330,Borkowo,54.333,18.3236
83-334,Miechucińskie Chrósty,54.3258,18.0248
83-335,Łączyńska Huta,54.2902,18.0222
83-340,Sierakowska Huta,54.3198,17.9093
83-340,Sierakowice,54.3476,17.8938
84-208,Kłosówko,54.4241,18.2803
83-400,Rotembark,54.0831,17.972
83-400,Szarlota,54.0988,17.9526
83-400,Rybaki,54.099,17.9241
83-424,Szklana Huta,54.0685,17.7629
83-425,Białe Błota,54.0112,17.7372
83-425,Belfort,54.0433,17.8435
83-425,Parowa,54.0219,17.7874
83-440,Przytarnia,53.9489,17.8732
83-442,Żebrowo,53.9312,17.9476
82-501,Rakowice,53.7103,19.0059
82-520,Bądki,53.6923,18.9742
82-520,Klecewo,53.6357,19.11
82-522,Olszanica,53.6774,18.8474
82-550,Kleczewo,53.7318,19.163
84-351,Janisławiec,54.6065,17.7122
84-351,Karlikowo Lęborskie,54.6407,17.8003
84-360,Lucin,54.7403,17.5667
82-220,Złotowo,54.0222,19.2174
82-220,Kławki,54.0407,19.2313
82-224,Starynia,54.0863,18.9482
82-224,Boręty Pierwsze,54.1184,18.8474
82-103,Chełmek-Osada,54.2717,19.1795
82-103,Wiśniówka,54.2798,19.0602
84-100,Połchowo,54.6473,18.3765
84-100,Starzyno,54.7528,18.26
84-110,Krokowa,54.7801,18.1616
84-110,Połchówko,54.7435,18.2181
84-150,Hel,54.6072,18.8021
84-230,Kazimierz,54.6017,18.4232
76-200,Włynkowo,54.5159,17.0068
76-200,Krępa Słupska,54.4142,17.0661
76-200,Gajki,54.4989,16.836
76-220,Będzimierz,54.5917,17.535
76-220,Murowaniec,54.5804,17.1861
76-220,Przebędowo Słupskie,54.6095,17.4667
76-220,Choćmirowo,54.5989,17.2402
76-230,Potęgowo,54.483,17.4836
76-231,Sąborze,54.4636,17.1856
76-248,Dargacz,54.3442,17.1203
76-251,Kruszyna,54.3456,17.0282
76-251,Komorczyn,54.4012,16.8605
76-251,Zębowo,54.4448,16.8844
26-115,Mirzec-Poduchowne,51.1371,21.0518
27-220,Mirzec-Podkowalów,51.1459,21.0399
27-225,Nowy Bostów,50.9193,21.0832
27-225,Ambrożów,50.9365,21.1093
27-230,Młynek,51.0373,21.1992
27-500,Starachowice,51.0397,21.0564
28-200,Podmaleniec,50.5984,21.1896
28-200,Wola Osowa,50.6202,21.1074
28-210,Kolonia Miłoszowice,50.6787,21.2724
28-210,Zimnowoda,50.632,21.2388
28-210,Kiełczyna,50.6664,21.2454
28-210,Batogi,50.6512,21.1703
28-225,Brzeziny,50.6148,20.9608
28-225,Potok Rządowy,50.6489,20.9797
28-230,Łęg,50.4353,21.3135
28-232,Orzelec Mały,50.4143,21.1287
29-100,Łachów,50.8392,19.9191
29-135,Kwilina,50.6869,20.017
29-145,Nadolnik,50.8495,19.8369
29-145,Papiernia,50.8341,19.8564
25-135,Kielce,50.8445,20.6224
25-222,Kielce,50.8416,20.6598
25-341,Kielce,50.8682,20.6451
25-344,Kielce,50.8658,20.6511
25-352,Kielce,50.8679,20.6324
25-361,Kielce,50.8628,20.7056
25-365,Kielce,50.8655,20.6319
25-373,Kielce,50.8612,20.6352
25-410,Kielce,50.8841,20.648
25-449,Kielce,50.9045,20.6636
25-544,Kielce,50.888,20.6416
25-551,Kielce,50.9021,20.6685
25-628,Kielce,50.8821,20.5962
25-629,Kielce,50.8775,20.5967
25-810,Kielce,50.8442,20.5468
11-200,Wólka,54.3058,20.6997
11-200,Drawa,54.1627,21.0036
11-200,Kiertyny Małe,54.3007,20.7549
11-220,Wokiele,54.3303,20.5493
11-230,Paluzy,54.1311,20.9468
14-500,Podgórze,54.3852,19.7843
14-500,Gronowo,54.4264,19.8925
14-500,Wola Lipowska,54.3417,19.9878
14-520,Lechowo,54.2035,20.2694
14-526,Pielgrzymowo,54.2699,19.9665
14-526,Strubno,54.256,19.9885
14-530,Baranówka-Leśniczówka,54.3165,19.7029
13-230,Klonowo,53.2364,19.7573
13-230,Bełk,53.2407,19.8688
13-230,Ostrowy,53.2151,19.7547
14-400,Wójtowizna,53.9997,19.7252
14-400,Leszczyna,54.1151,19.6255
14-400,Kąty,53.9924,19.6225
14-407,Miłosna,54.1004,19.8222
14-411,Protowo,53.9414,19.4274
14-420,Sokolnik,54.1905,19.6308
82-325,Żółwiniec,54.0639,19.4416
82-335,Oleśno,54.0801,19.2882
82-340,Kamionek Wielki,54.2598,19.4098
19-300,Kałęczyny,53.7851,22.4805
19-300,Chrzanowo,53.8369,22.2838
19-300,Zalesie,53.9104,22.358
19-300,Lega,53.8576,22.4666
19-335,Kibisy,53.6787,22.3149
19-335,Miechowo,53.7208,22.3332
11-500,Wilkasy,54.0126,21.7251
11-500,Gajewo,54.0499,21.7869
11-510,Zelki,53.8849,22.0901
11-513,Rydzewo,53.9634,21.7696
11-520,Zielony Lasek,53.8751,21.5964
11-520,Słabowo,53.9428,21.4479
11-520,Ryński Dwór,53.9238,21.5532
11-612,Żywy,54.0584,22.0303
14-202,Laseczno,53.6012,19.444
14-220,Pławty Wielkie,53.6425,19.227
14-230,Jerzwałd,53.7809,19.5255
14-240,Karolewo,53.7237,19.3182
14-260,Rumienica,53.4531,19.9007
14-260,Gierłoż Polska,53.6112,19.7429
14-260,Raczek,53.5396,19.6931
11-400,Jeżewo,54.1058,21.2928
11-410,Ogródki,54.2102,21.4153
11-410,Rodele,54.1857,21.3778
11-420,Mazurkowo,54.2928,21.5539
11-420,Łęknica,54.2907,21.4451
11-430,Łankiejmy,54.1476,21.0729
11-430,Studzieniec,54.2055,21.0646
11-440,Śpiglówka,53.9522,21.1835
11-440,Klewno,54.0592,21.184
11-100,Lauda,54.1371,20.5074
11-100,Wielochowo,54.1651,20.5534
11-106,Klejdyty,54.1319,20.7043
11-130,Wojciechowo,54.0762,20.1344
11-700,Kiersztanowo,53.9296,21.2611
11-700,Brodzikowo,53.9389,21.3472
11-710,Dobry Lasek,53.7315,21.3864
11-710,Probark Mały,53.8041,21.3854
11-730,Baranowo,53.8263,21.4465
11-731,Stary Gieląd,53.8555,21.1373
11-731,Rybno,53.7591,21.1389
13-100,Wietrzychówko,53.4175,20.3874
13-111,Miecznikowo Siwe,53.2729,20.4922
13-113,Zdrojek,53.3833,20.5614
13-124,Wierzbowo,53.3534,20.2177
13-124,Rogóż,53.3599,20.2625
13-124,Szkotowo,53.4043,20.2838
19-400,Lenarty,54.117,22.5174
19-400,Dąbrowskie,54.0913,22.54
19-404,Nory,53.9403,22.5442
19-411,Krzywe,53.9485,22.3217
11-001,Frączki,53.9309,20.5969
11-001,Bukwałd,53.8755,20.3604
15-107,Białystok,53.153,23.1523
15-117,Białystok,53.1458,23.1811
15-128,Białystok,53.1564,23.1836
15-138,Białystok,53.1402,23.1941
15-141,Białystok,53.1463,23.1857
15-144,Białystok,53.1419,23.1839
15-151,Białystok,53.1456,23.1874
15-173,Białystok,53.1664,23.1991
15-335,Białystok,53.1109,23.1438
15-364,Białystok,53.1168,23.1379
15-377,Białystok,53.1233,23.1407
15-408,Białystok,53.1287,23.15
15-473,Białystok,53.1431,23.1694
15-489,Białystok,53.1404,23.1624
15-541,Białystok,53.1215,23.2048
15-546,Białystok,53.1251,23.2032
15-557,Białystok,53.1165,23.207
15-568,Białystok,53.1055,23.21
15-699,Białystok,53.1654,23.1189
15-779,Białystok,53.1493,23.0911
15-790,Białystok,53.146,23.1189
15-801,Białystok,53.1499,23.1305
77-116,Kleszczyniec,54.3363,17.5228
77-116,Kozin,54.378,17.6261
77-124,Zielony Dwór,54.1952,17.7024
77-130,Tebowizna,54.0429,17.2984
77-130,Smołdziny,54.0143,17.4246
77-138,Luboń,54.0241,17.4834
77-138,Wierzchocina,53.9601,17.2539
77-140,Kołczygłówki,54.2316,17.199
77-140,Barkocin,54.1472,17.2136
77-140,Przyborze,54.1468,17.2684
77-141,Kamieńc,54.2306,17.2758
77-141,Chotkowo,54.1644,17.3412
77-200,Lipczyno,53.9745,17.0289
77-200,Żabno,54.105,17.1336
77-235,Starkowo,54.2478,17.1241
89-607,Konarzyny,53.8254,17.3791
89-620,Powałki,53.7422,17.618
89-620,Pod Ciechocin,53.6021,17.6461
16-205,Butrymowce,53.6208,23.4627
16-402,Bobrowisko,54.1708,23.0968
16-402,Kropiwne Nowe,54.0689,22.801
16-404,Rutka,54.2138,22.8459
16-404,Błaskowizna,54.248,22.8087
16-406,Kadaryszki,54.3304,22.9555
16-407,Rogożajny Wielkie,54.3316,22.8582
16-407,Leszkiemie,54.3417,22.8088
16-411,Podwojponie,54.302,23.1272
16-411,Czerwonka,54.1952,23.0109
16-411,Rybalnia,54.2536,23.035
16-423,Stara Chmielówka,54.1361,22.7576
16-424,Smolenka,54.1552,22.7591
16-424,Filipów,54.1798,22.6217
16-427,Łanowicze Małe,54.2209,22.7294
18-200,Gołasze-Puszcza,52.9559,22.4904
18-204,Kobylin-Kruszewo,53.1116,22.6596
18-208,Faszcze,52.9816,22.5998
18-210,Pułazie-Świerże,52.8441,22.6125
18-210,Średnica-Jakubowięta,52.8826,22.5673
18-210,Nowe Gierałty,52.853,22.5604
18-212,Hodyszewo,52.8314,22.777
18-212,Koboski,52.8615,22.7269
18-214,Klukowo,52.7766,22.5037
18-218,Rzące,52.9495,22.6834
18-218,Kruszewo-Wypychy,52.9862,22.7159
18-220,Dmochy-Mrozy,52.8339,22.2647
18-230,Pobikry,52.6297,22.6431
18-230,Wojtkowice-Glinna,52.5947,22.4381
18-230,Bujenka,52.6962,22.5668
18-300,Zaręby-Grzymały,52.8821,22.2899
18-312,Rutki-Tartak Nowy,53.0684,22.4213
18-312,Zambrzyce-Jankowo,53.0992,22.5871
15-047,Białystok,53.1334,23.1803
48-315,Lasocice,50.5355,17.4621
48-316,Łambinowice,50.5409,17.5638
48-320,Mroczkowa,50.5794,17.343
48-325,Ścinawa Mała,50.4222,17.5449
48-330,Polski Świętów,50.387,17.3492
48-340,Bodzanów,50.3396,17.3769
48-385,Grądy,50.5013,17.2151
48-385,Meszno,50.4364,17.1469
46-300,Kucoby,50.8789,18.6194
